                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0058,                 4.6854,                 4.1824,                0.00096,                0.02778,                0.00439,                0.00229,                 2.4077,                 2.8809,                 3.9569,             8.0772e-05,             8.0772e-05,             8.0772e-05
                      2,                 2.9515,                 3.4677,                 3.8747,                0.00024,                0.02644,                0.00037,                0.00019,                 2.3681,                 4.0933,                 3.5718,             0.00016207,             0.00016207,             0.00016207
                      3,                 2.6565,                 2.8763,                 3.4415,                0.01379,                0.01149,                0.01157,                0.00434,                 2.4202,                 2.3676,                 3.2868,              0.0002432,              0.0002432,              0.0002432
                      4,                 2.0198,                 2.3006,                 2.8196,                0.01359,                0.00971,                0.00915,                0.00736,                 1.4008,                 2.1873,                  2.292,             0.00024346,             0.00024346,             0.00024346
                      5,                 1.4127,                  1.724,                  2.239,                0.01839,                0.01201,                0.01361,                0.01175,                 1.2639,                 1.8971,                 1.8487,             0.00024346,             0.00024346,             0.00024346
                      6,                 1.1287,                 1.4028,                 1.9027,                0.01456,                0.01104,                0.01162,                0.00816,                 1.4188,                 2.1301,                 2.0644,             0.00024305,             0.00024305,             0.00024305
                      7,                0.92624,                 1.1369,                 1.6764,                0.02114,                0.01302,                0.01543,                0.01305,                 1.1207,                 1.7776,                 1.6019,             0.00024251,             0.00024251,             0.00024251
                      8,                0.85655,                 1.0216,                 1.5653,                0.02298,                0.01651,                0.02063,                0.01649,                 1.0142,                 1.3499,                  1.367,             0.00024186,             0.00024186,             0.00024186
                      9,                0.76037,                0.93719,                 1.4697,                0.02422,                0.02535,                0.02655,                0.02117,                0.78855,                 0.9375,                 1.0488,             0.00024109,             0.00024109,             0.00024109
                     10,                0.69767,                0.82931,                 1.3925,                0.02335,                0.02395,                0.02559,                0.02018,                 0.8833,                 1.0789,                 1.0868,             0.00024021,             0.00024021,             0.00024021
                     11,                 0.6551,                0.77597,                 1.3385,                0.02687,                0.02739,                0.02753,                0.02386,                0.57499,                0.78152,                0.87276,              0.0002392,              0.0002392,              0.0002392
                     12,                0.61837,                0.72127,                 1.2993,                0.02372,                0.02466,                0.02622,                0.02251,                0.61812,                0.83018,                0.90755,             0.00023809,             0.00023809,             0.00023809
                     13,                0.59198,                0.67686,                 1.2704,                0.02243,                0.02011,                0.02329,                0.02177,                 0.5491,                 1.0483,                0.89523,             0.00023686,             0.00023686,             0.00023686
                     14,                0.55916,                0.64725,                 1.2404,                0.00886,                0.01034,                0.00759,                0.00681,                 1.3912,                 2.4231,                   1.74,             0.00023552,             0.00023552,             0.00023552
                     15,                0.52417,                0.61308,                  1.207,                0.02564,                 0.0138,                0.01962,                0.01715,                 0.7729,                 1.1457,                 0.9682,             0.00023407,             0.00023407,             0.00023407
                     16,                0.49465,                0.57253,                 1.1834,                0.02262,                0.02114,                0.02475,                 0.0226,                0.55916,                0.92677,                0.82037,             0.00023251,             0.00023251,             0.00023251
                     17,                0.46829,                0.54363,                 1.1577,                0.02657,                 0.0272,                0.02749,                0.02617,                0.42361,                0.69277,                0.70575,             0.00023084,             0.00023084,             0.00023084
                     18,                0.45789,                0.52044,                 1.1434,                0.02503,                 0.0244,                0.02643,                 0.0235,                 0.5051,                0.77738,                0.81607,             0.00022906,             0.00022906,             0.00022906
                     19,                0.44451,                0.50328,                 1.1359,                0.02557,                0.02511,                0.02705,                0.02462,                0.47437,                0.70215,                0.76819,             0.00022718,             0.00022718,             0.00022718
                     20,                0.44659,                0.50717,                  1.123,                 0.0249,                0.02489,                0.02682,                0.02246,                0.64733,                0.85033,                0.97579,              0.0002252,              0.0002252,              0.0002252
                     21,                0.41592,                0.47184,                 1.0998,                0.02525,                0.02452,                0.02678,                0.02536,                0.36179,                0.64711,                0.67398,             0.00022311,             0.00022311,             0.00022311
                     22,                0.39844,                0.45796,                 1.0948,                0.02524,                0.02664,                0.02729,                0.02566,                0.42072,                0.61914,                0.66515,             0.00022093,             0.00022093,             0.00022093
                     23,                0.38674,                0.43744,                 1.0779,                 0.0247,                 0.0129,                0.01919,                  0.016,                0.70927,                 1.3504,                0.98033,             0.00021865,             0.00021865,             0.00021865
                     24,                0.38183,                0.43314,                 1.0711,                0.02489,                0.01309,                0.01944,                0.01718,                0.67003,                 1.1874,                0.89627,             0.00021628,             0.00021628,             0.00021628
                     25,                0.37195,                0.42264,                 1.0667,                0.02208,                0.02433,                0.02561,                 0.0224,                0.47902,                0.76178,                0.70552,             0.00021382,             0.00021382,             0.00021382
                     26,                0.35807,                0.41037,                 1.0514,                 0.0265,                0.01386,                0.01651,                0.01559,                0.66645,                 1.5699,                0.92955,             0.00021126,             0.00021126,             0.00021126
                     27,                0.35945,                0.39999,                 1.0549,                0.02405,                0.02446,                0.02622,                0.02366,                0.49378,                 0.8077,                 0.7384,             0.00020862,             0.00020862,             0.00020862
                     28,                0.35785,                0.40516,                 1.0535,                0.02172,                0.02305,                0.02481,                0.02047,                0.68892,                 0.9064,                0.85319,              0.0002059,              0.0002059,              0.0002059
                     29,                0.35439,                0.39438,                 1.0498,                0.02417,                0.01335,                0.01742,                0.01585,                0.68327,                  1.386,                0.91834,             0.00020309,             0.00020309,             0.00020309
                     30,                0.32689,                0.37076,                 1.0282,                0.02534,                0.01326,                0.01957,                0.01906,                0.42348,                 1.0703,                0.73453,             0.00020021,             0.00020021,             0.00020021
                     31,                0.32796,                  0.367,                 1.0262,                0.02557,                0.02618,                0.02722,                0.02549,                  0.384,                0.73604,                0.62483,             0.00019725,             0.00019725,             0.00019725
                     32,                0.32463,                 0.3573,                 1.0259,                0.02207,                0.01284,                0.01809,                0.01664,                 0.5136,                 1.3261,                0.77015,             0.00019421,             0.00019421,             0.00019421
                     33,                0.31755,                0.35565,                 1.0173,                0.01824,                0.01175,                0.01353,                0.01325,                0.79603,                 2.7099,                 1.1693,             0.00019111,             0.00019111,             0.00019111
                     34,                0.30116,                0.34137,                 1.0038,                0.02368,                0.02465,                0.02608,                0.02424,                0.35893,                0.77513,                0.63226,             0.00018794,             0.00018794,             0.00018794
                     35,                0.30779,                0.34211,                  1.013,                 0.0219,                0.01456,                0.02036,                0.01867,                0.45467,                 1.0606,                0.72302,              0.0001847,              0.0001847,              0.0001847
                     36,                0.29467,                0.32766,                0.99798,                0.01674,                 0.0212,                0.02193,                0.01949,                0.43767,                 1.0155,                 0.6845,             0.00018141,             0.00018141,             0.00018141
                     37,                0.29343,                0.33057,                 1.0043,                0.01965,                0.02063,                 0.0232,                0.01985,                0.44675,                0.98492,                0.68468,             0.00017805,             0.00017805,             0.00017805
