                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9159,                 83.905,                   3.24,                0.00661,                0.02203,                0.00549,                0.00208,                 2.8635,                 4.2265,                 2.2102,              0.0033257,              0.0033257,              0.0033257
                      2,                 2.7353,                 8.9924,                 1.9399,                0.03686,                0.02678,                0.02721,                0.00982,                  2.517,                 3.5278,                  1.864,              0.0066574,              0.0066574,              0.0066574
                      3,                 2.4222,                 3.5567,                 1.7135,                0.12838,                0.03421,                0.03827,                0.01807,                  2.371,                 22.014,                 1.8354,              0.0099826,              0.0099826,              0.0099826
                      4,                  2.294,                 2.8276,                 1.6145,                0.13887,                0.05191,                0.05184,                0.02666,                 2.0701,                 6.8356,                 1.6322,               0.009978,               0.009978,               0.009978
                      5,                 2.1081,                 2.5013,                 1.4823,                 0.1327,                0.06866,                0.08068,                 0.0452,                 1.9788,                 2.4527,                 1.5651,               0.009978,               0.009978,               0.009978
                      6,                  2.036,                 2.2514,                 1.4509,                0.13508,                0.12121,                 0.1224,                0.06901,                 1.8648,                 1.9016,                 1.4846,               0.009961,               0.009961,               0.009961
                      7,                 1.9568,                 2.1473,                 1.3981,                0.14346,                0.11962,                0.12022,                0.07464,                   1.65,                 2.5103,                 1.3951,              0.0099391,              0.0099391,              0.0099391
                      8,                 1.7983,                 2.0067,                 1.3347,                0.15535,                0.08766,                0.09449,                0.05467,                 2.0044,                 2.3865,                 1.5492,              0.0099123,              0.0099123,              0.0099123
                      9,                 1.7803,                 1.9539,                 1.3188,                0.18219,                0.09462,                0.10087,                0.06201,                 1.9482,                 2.1141,                 1.4877,              0.0098808,              0.0098808,              0.0098808
                     10,                 1.7632,                 1.9912,                 1.3099,                0.60926,                0.14985,                0.14874,                0.09833,                 1.4881,                 1.5296,                 1.2538,              0.0098445,              0.0098445,              0.0098445
                     11,                 1.6468,                 1.7728,                 1.2395,                0.81288,                0.14061,                0.14894,                0.10401,                 1.4542,                 1.6109,                  1.242,              0.0098035,              0.0098035,              0.0098035
                     12,                 1.6444,                 1.8893,                 1.2375,                0.92112,                0.14321,                0.15698,                0.10578,                 1.4059,                 1.4286,                 1.2348,              0.0097577,              0.0097577,              0.0097577
                     13,                  1.596,                 1.7001,                 1.2225,                0.92314,                 0.1189,                0.12439,                0.07278,                 1.7715,                 1.7784,                 1.4098,              0.0097074,              0.0097074,              0.0097074
                     14,                  1.574,                 1.6936,                 1.2232,                0.90677,                0.14117,                0.14667,                0.09214,                 1.6126,                 1.6589,                 1.3474,              0.0096524,              0.0096524,              0.0096524
                     15,                 1.5194,                 1.6566,                  1.188,                0.95114,                  0.155,                0.16194,                0.11885,                 1.2039,                 1.3102,                 1.1216,              0.0095929,              0.0095929,              0.0095929
                     16,                   1.48,                  1.608,                  1.163,                0.93373,                0.15976,                0.17031,                0.12537,                 1.1526,                 1.2702,                 1.0985,              0.0095289,              0.0095289,              0.0095289
                     17,                 1.4943,                 1.6557,                 1.1641,                  0.924,                0.09783,                0.11345,                0.07467,                 1.7779,                 2.1375,                 1.4539,              0.0094605,              0.0094605,              0.0094605
                     18,                 1.4566,                 1.5998,                 1.1621,                0.89512,                0.15864,                0.16675,                0.12295,                 1.2263,                  1.299,                 1.1301,              0.0093877,              0.0093877,              0.0093877
                     19,                 1.4758,                 1.5439,                 1.1572,                0.92373,                0.15347,                0.17092,                 0.1244,                 1.1983,                  1.265,                 1.1245,              0.0093107,              0.0093107,              0.0093107
                     20,                 1.4556,                   1.62,                 1.1469,                 0.9064,                0.14408,                0.15536,                0.10183,                 1.4428,                  1.552,                 1.2354,              0.0092294,              0.0092294,              0.0092294
                     21,                 1.4287,                 1.5623,                 1.1376,                0.92564,                0.15976,                0.17823,                0.12816,                 1.1409,                 1.1852,                 1.0737,               0.009144,               0.009144,               0.009144
                     22,                 1.4035,                 1.5028,                 1.1333,                0.94792,                0.15391,                0.17036,                0.12218,                 1.2501,                 1.2869,                 1.1393,              0.0090546,              0.0090546,              0.0090546
