                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5738,                 38.415,                 7.6231,                 4.9636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.9965,                 5.2112,                 5.5784,                 4.1606,             0.00017236,             0.00017236,             0.00017236
                      2,                 3.5181,                 5.8937,                 6.1075,                 4.1387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0032,                 5.1827,                 5.6207,                  4.176,             0.00035019,             0.00035019,             0.00035019
                      3,                 3.3194,                   4.43,                 5.5159,                 3.8338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0181,                  5.132,                 5.2749,                 4.2119,             0.00052768,             0.00052768,             0.00052768
                      4,                  2.872,                 3.6733,                 5.1269,                 3.5101,                0.00623,                0.19209,                0.03352,                0.01676,                0.00678,                0.20969,                0.03987,                0.02638,                 2.9019,                 4.2642,                 5.2605,                 3.9291,             0.00055478,             0.00055478,             0.00055478
                      5,                 2.8315,                  3.123,                  4.736,                 3.2718,                0.49086,                0.14167,                0.06571,                0.02185,                0.48998,                0.14167,                0.07051,                0.04861,                 2.5838,                 2.5698,                 4.4568,                 3.2845,             0.00055478,             0.00055478,             0.00055478
                      6,                 2.6557,                 2.8223,                 4.3798,                 2.9808,                0.19651,                0.16535,                0.09634,                0.03911,                0.19651,                0.16535,                  0.099,                0.06586,                 2.4158,                 2.1344,                 3.9576,                 2.8996,             0.00055383,             0.00055383,             0.00055383
                      7,                 2.5781,                 2.5002,                 3.9959,                 2.8578,                0.17202,                0.10974,                 0.1123,                0.05179,                0.17202,                0.10974,                0.11363,                0.07831,                 2.3323,                 1.8751,                 3.7062,                 2.8388,             0.00055261,             0.00055261,             0.00055261
                      8,                 2.4742,                  2.296,                 3.9044,                 2.7674,                0.38722,                0.04365,                0.10877,                0.04877,                0.40215,                0.05952,                0.11768,                0.07957,                 2.0865,                 1.6964,                 3.4356,                 2.6528,             0.00055113,             0.00055113,             0.00055113
                      9,                 2.3214,                 2.0719,                 3.6442,                 2.6658,                0.14861,                0.23458,                0.16003,                  0.079,                0.14861,                0.23458,                0.15899,                0.11645,                 1.9979,                 1.4325,                 2.8199,                 2.5488,             0.00054937,             0.00054937,             0.00054937
                     10,                 2.2024,                 1.9774,                  3.433,                 2.5519,                0.12243,                0.25092,                0.14259,                0.07731,                0.11574,                0.21331,                0.14013,                0.10515,                  1.961,                 1.4267,                 2.8937,                 2.5745,             0.00054735,             0.00054735,             0.00054735
                     11,                   2.09,                 1.9802,                 3.2613,                 2.4539,                0.29744,                0.28626,                0.20601,                0.10291,                0.29268,                0.26842,                0.20116,                0.15193,                 1.8923,                 1.3057,                 2.5294,                 2.4858,             0.00054507,             0.00054507,             0.00054507
                     12,                 2.0485,                 1.9017,                 3.1458,                 2.3589,                0.17264,                0.32529,                0.20407,                0.10987,                0.17264,                0.32529,                0.20951,                0.14878,                 1.7788,                 1.4364,                 2.6159,                 2.3545,             0.00054253,             0.00054253,             0.00054253
                     13,                 1.9546,                  1.813,                 3.0936,                 2.3069,                0.24772,                0.31939,                0.19558,                0.11224,                0.24772,                0.31939,                0.19143,                0.13876,                 1.7147,                 1.5945,                 2.4434,                 2.4089,             0.00053973,             0.00053973,             0.00053973
                     14,                 1.8571,                 1.7541,                 2.8792,                 2.2004,                0.18994,                  0.358,                0.26125,                0.13944,                 0.1834,                0.35928,                0.24826,                0.18429,                 1.6127,                 1.2498,                 2.3772,                 2.1873,             0.00053667,             0.00053667,             0.00053667
                     15,                 1.7668,                 1.6688,                 2.7811,                 2.1315,                0.16955,                0.34524,                0.27946,                0.18123,                0.16428,                0.31472,                0.28731,                0.22228,                 1.5251,                 1.2364,                 2.3533,                 2.0607,             0.00053336,             0.00053336,             0.00053336
                     16,                 1.7199,                  1.662,                  2.748,                 2.0823,                0.13305,                 0.4159,                0.21949,                0.13813,                0.14189,                0.42839,                0.22688,                0.18051,                  1.483,                0.99702,                 2.3694,                 2.0434,             0.00052981,             0.00052981,             0.00052981
                     17,                 1.6307,                 1.6246,                 2.6504,                 1.9671,                0.13501,                0.37926,                0.29133,                0.18901,                0.12884,                0.37076,                0.28276,                0.22026,                 1.4139,                 1.0061,                 2.3067,                 1.9138,               0.000526,               0.000526,               0.000526
                     18,                 1.5942,                 1.6866,                 2.6233,                 1.9638,                0.13545,                0.53498,                0.21978,                0.13418,                0.14408,                0.53145,                0.21732,                0.16414,                 1.4701,                 1.4208,                 3.1908,                 1.9919,             0.00052196,             0.00052196,             0.00052196
                     19,                 1.5694,                 1.6709,                 2.5906,                 1.9007,                0.14546,                  0.434,                 0.2847,                0.19339,                0.14546,                  0.434,                0.26297,                0.21315,                 1.3096,                  1.223,                 3.2093,                 1.7493,             0.00051767,             0.00051767,             0.00051767
                     20,                 1.5014,                 1.5956,                 2.4434,                 1.8194,                0.24214,                0.47522,                0.35375,                0.25498,                0.22791,                0.45935,                0.33761,                0.27448,                 1.1917,                0.96302,                 2.1774,                 1.7114,             0.00051316,             0.00051316,             0.00051316
                     21,                 1.4215,                 1.5303,                 2.4462,                 1.7492,                0.19918,                0.59004,                0.32618,                0.22577,                0.19181,                0.57417,                0.30678,                0.25684,                 1.1454,                0.96977,                 2.0331,                 1.6254,             0.00050841,             0.00050841,             0.00050841
                     22,                 1.4633,                 1.5147,                  2.383,                 1.7625,                0.20571,                0.45446,                0.24892,                0.16828,                0.20092,                 0.4307,                0.24787,                0.20257,                 1.2621,                 1.0581,                 2.2808,                 1.8797,             0.00050344,             0.00050344,             0.00050344
                     23,                 1.3927,                 1.4442,                 2.3582,                 1.7696,                0.28294,                0.36264,                0.33676,                0.24612,                0.26037,                0.35881,                 0.3089,                 0.2669,                 1.0771,                 1.0025,                 2.1779,                 1.6372,             0.00049825,             0.00049825,             0.00049825
                     24,                 1.3296,                 1.3998,                 2.3527,                 1.7017,                0.38358,                 0.3951,                0.32967,                0.24564,                0.38643,                0.42527,                 0.3311,                0.27644,                 1.1869,                0.90436,                 2.1791,                 1.6455,             0.00049284,             0.00049284,             0.00049284
